COMPANY NAME,WEBSITE,STREET ADDRESS,CITY,STATE,ZIP,PHONE,EMAIL,INTERNSHIP MENTOR,INTERNSHIP TOPIC,MAJORS,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26
New Horizon Financial Planning,http://newhorizonfinancial.com/,320 Palisade Ave,Bogota,NJ,7603,2014891118,nhf@ae.cadaretgrant.com,Ed Sweeney,Business,Business & Finance,,,,,,,,,,,,,,,,
"Becton, Dickinson, and Co.",http://www.bd.com/,1 Becton Dr.,Franklin Lakes,NJ,7417,610-888-1761,Douglas.Cusato@bd.com ,Douglas Cusato,Biomedical Engineering,"Automotive Engineering, Aerospace Engineering, Medical",,,,,,,,,,,,,,,,
The Valley Hospital,http://www.valleyhealth.com/,223 N Van Dien Avenue,Ridgewood,NJ,7450,2014478138,kmarave@valleyhealth.com,Katie Miller,Hospital Intern,"Computer Science, Medical",,,,,,,,,,,,,,,,
"Bastarrika, Soto, Gonzalez & Somohano, LLP.",http://www.bgsglaw.com,90 Main St Suite 308,Hackensack,NJ,7601,201-212-4572,JGonzalez@bsgslaw.com,Jerard  Gonzalez,Internship,Research/Other,,,,,,,,,,,,,,,,
Little Ferry Board of Education,www.littleferry.k12.nj.us,130 Liberty St,Little Ferry,NJ,7643,201-641-6192,ddoran@littleferry.k12.nj.us,Donna Doran,Accounts Payable Dept.,Research/Other,,,,,,,,,,,,,,,,
Holy Name Hospital Fitness,http://www.holyname.org/hnhfitness/,514 Kinderkamack Road,Oradell,NJ ,7649,888-236-4236,hnhfitness@holyname.org,Ronald Drenth,Physical Therapy,Medical,,,,,,,,,,,,,,,,
American Museum of Natural History,www.amnh.org,Central Park West at 79th Street,New York,NY,10024,212-769-5857,dkizirian@amnh.org,David Kizirian,Herpatology,Medical,,,,,,,,,,,,,,,,
Blue Dog Graphics,www.GoBlueDog.com,222 River Street,Hackensack,NJ,7601,2013433343,don@GoBlueDog.com,Donald Perlman,Graphic Design,"Digital Media, Commercial Arts",,,,,,,,,,,,,,,,
EuroImmun US,http://www.euroimmun.us/,1 Bloomfield Avenue,Mountain Lakes,NJ,7046,973-656-1000,info@euroimmun.us,Richard Peluso,biotech and sales,Computer Science,,,,,,,,,,,,,,,,
BMW North America ,,,,NJ,7677,201-571-5487,Linda.Ross@bmwna.com,Jim Topolewski,Auto Mechanics,Automotive Engineering,,,,,,,,,,,,,,,,
Walmart Vision Center,,174 Passaic St,Garfield,NJ,7026,(973)330-3554,none,Al Hunter,"Medicine, Optometry, Biology, Eye Specialist, Medical, Doctor",Medical,,,,,,,,,,,,,,,,
"McManimon, Scotland, & Baumann, LLC",,75 Livingston Avenue Second Floor,Roseland,NJ,7068,(973) 622-5377,dpoland@msbnj.com,Dana Poland,Law,Law,,,,,,,,,,,,,,,,
"Harwood LLoyd, LLC",www.harwoodlloyd.com,130 Main Street,Hackensack,NJ,7601,2014871080,tjavier@harwoodlloyd.com,Resa Javier,Law,Law,,,,,,,,,,,,,,,,
Helidex Offshore,http://www.helidex.com/,Paterson Avenue,East Rutherford,NJ,7073,1-908-405-9839,info@helidex.com,Chawki Benteftifa,Civil Engineering,"Automotive Engineering, Aerospace Engineering",,,,,,,,,,,,,,,,
CK Rehab & Pain Clinic,,"21 Grand Ave. S. Building, Suite 504",Palisades Park,NJ,7650,(201) 941-0993,painfreekim@yahoo.com,Sungeun Kim,"Physical Therapy, Pain Rehab Clinic, Sports Injury Clnic, Post Surgery . Opportunity to observe and experience the in and outs of a physical therapy center","Computer Science, Medical",,,,,,,,,,,,,,,,
BMW of North America,,300 Chestnut Ridge Rd,Woodcliff Lake,NJ,7677,2013074000,Linda.ross@bmwna.com,Jim Topolewski,Automotive,Automotive Engineering,,,,,,,,,,,,,,,,
Original Presto's,http://originalprestosbrickovenpizza.com,440 Main Street,Fort Lee,NJ,7024,201-417-8360,minakadry@gmail.com,Mina Farag,Restaurant,Research/Other,,,,,,,,,,,,,,,,
Rutgers University Biomedical and Health Sciences,http://njms.rutgers.edu/index.cfm,225 Warren Street,Newark,NJ,7103,973-972-4868,lukacdm@njmsrutgers.edu,David Lukac,Molecular Biology,Medical,,,,,,,,,,,,,,,,
"Schepisi & McLaughlin, P.A.",www.schepisi.com,473 Sylvan Avenue,Englewood Cliffs,NJ,7632,201-569-9898,jschepisi@schepisi.org,John  Schepisi,Law Firm,Law,,,,,,,,,,,,,,,,
Holy Name Medical Center,www.holyname.org,718 Teaneck Road,Teaneck ,NJ,7666,2015416315,bredy@holyname.org,Drew Olsen,Clinical Research Department ,"Commercial Arts, Medical, Research/Other",,,,,,,,,,,,,,,,
Bergen County Sheriff's Department,www.bcsd.us,327 E Ridgewood Ave.,Paramus,NJ,7652,201-336-7740,umalakas@bcsd.us,Uwe Malakas,Police Work,Research/Other,,,,,,,,,,,,,,,,
Holy Name Medical Center,,718 Teaneck Road,Teaneck,NJ,7666,2018333000,berthou@holyname.org,Marie Berthou,Healthcare,Medical,,,,,,,,,,,,,,,,
Cliffside Park Middle School,http://www.cliffsidepark.edu/,440 Oakdene Avenue,Cliffside Park,NJ,7010,201-313-2350,mbucco@cliffsidepark.edu,Alex Gomez,Computer Science,"Computer Science, Research/Other",,,,,,,,,,,,,,,,
Prospect Heights Care Center,,336 Prospect Ave.,Hackensack,NJ,7601,2015187745,dnora@prospectheightscare.com,Denice Nora,Recreation Department - Internship,Commercial Arts,,,,,,,,,,,,,,,,
MEK Review,http://www.mekreview.com/,261 First Street,Palisades Park,NJ,7652,(201)456-2446,mek@mekreview.com,Tony Kim,Grading and Material Development,Research/Other,,,,,,,,,,,,,,,,
BCTHS,,504 Rt 46 West,Teterboro,NJ,7608,201-343-6000 x3309,frafuc@bergen.org,Frank Fuchs,MSG Varsity Intern,Computer Science,,,,,,,,,,,,,,,,
Crestron,http://www.crestron.com/,7 Volvo Drive,Rockleigh,NJ ,7647,(201)750-7004 x10227,tcook@crestron.com,Tracyann Cook,Engineering,"Automotive Engineering, Aerospace Engineering",,,,,,,,,,,,,,,,
New Horizon Financial,newhorizonfinancial.com,320 Palisades Ave,Bogota,NJ,7603,201-489-1118,nhf@ae.cadaretgrant.com,Ed Sweeney,Finance,Business & Finance,,,,,,,,,,,,,,,,
CAPE Center/McKinney-Vento Grant,http://cape.bergen.org,540 North Farview Avenue,Paramus,NJ,7652,201-343-6000 ext. 6588,diader@bergen.org,Diahann DeRuggerio,Law,Law,,,,,,,,,,,,,,,,
Saddle Brook High School,www.saddlebrookschools.org,355 Mayhill Street,Saddle Brook,NJ,7663,201-843-2880,jhill@saddlebrookschools.org,Mrs. Young / Jonathan Hill,Saddle Brook High School,Research/Other,,,,,,,,,,,,,,,,
In-Tech Services LLC,,70 East Palisade Avenue,Englewood,NJ,7631,201-894-5545,molly@in-techservices.com,Molly Sinsewakun,Computer Technician,Computer Science,,,,,,,,,,,,,,,,
American Civil Liberties Union,aclu.org,125 Broad St 18th Floor,New York,NY,10004,2125197832,dparker@aclu.org,Dennis Parker,Racial Justice,Law,,,,,,,,,,,,,,,,
Woodcuts Health Care Center,http://www.care-one.com/locations/woodcrest-health-care-center/,800 River Road,New Milford,NJ,7646,201-967-1700,hyee@woodcresthcc.com,Amy  Shames,Rehab,Research/Other,,,,,,,,,,,,,,,,
Liberty Science Center,lsc.org,222 Jersey City Blvd.,Jersey City,NJ,7305,2012531297,volunteer@lsc.org,Juliann Muller,Volunteer ,Research/Other,,,,,,,,,,,,,,,,
Cadett Marketing,http://cadettmarketing.com,183 Market St,Saddle Brook,NJ,7663,201-880-1926,info@cadettmarketing.com,Carol Metzger,Graphic Design,"Digital Media, Commercial Arts",,,,,,,,,,,,,,,,
"The Graduate Center, CUNY",,356 5th Avenue,New York,NY,10001,646-431-4461,bhomer@gc.cuny.edu,Bruce Homer,Training in education and psychological research,"Computer Science, Research/Other",,,,,,,,,,,,,,,,
Ivy Rehab ,http://www.ivyrehab.com/,87 Summit Ave. 2nd floor,Hackensack ,NJ,7601,201-488-7905,mrambaldi@ivyrehab.com,Marc Rambaldi,Physical Therapy,Medical,,,,,,,,,,,,,,,,
Laguna 2 LLC,http://www.l2corp.com,12 Sullivan St,Westwood,NJ,7675,(201)594-9444,pschoch@l2corp.com,Phil Schoch,Electronics Distribution ,Computer Science,,,,,,,,,,,,,,,,
Holy Name Medical Center,http://www.holyname.org/index.aspx,718 Teaneck Rd,Teaneck,NJ,7666,201-833-3051,berthou@holyname.org,Marie Berthou,Unit Volunteer,Computer Science,,,,,,,,,,,,,,,,
Little Ferry Memorial Middle School,http://www.littleferry.k12.nj.us/site/Default.aspx?PageID=9,130 Liberty Street ,Little Ferry ,NJ,7643,201-641-6186,cmaieran@littleferry.k12.nj.us,Chris Maieran,Teacher's Assistant,Research/Other,,,,,,,,,,,,,,,,
The Bergen Record,,1 Garret Mountain Plaza,Woodland Park,NJ,7424,9735697077,edel@northjersey.com,Ray Edel,Journalism/Publication,Research/Other,,,,,,,,,,,,,,,,
Agentry PR,http://www.agentrypr.com/company.html,27 West 20th Street Suite 504 ,New York, NY,10011,212.924.2276,info@agentrypr.com,Jonathon Zadrzynski,Fashion Public Relations,Fashion,,,,,,,,,,,,,,,,
Englewood Hospital and Medical Center,http://www.englewoodhospital.com/,350 Engle St ,Englewood,NJ,7631,(201)894-3000,carol.hoth@ehmchealth.org,Carol Hoth,Junior Volunteer,Research/Other,,,,,,,,,,,,,,,,
CAPE Center/McKinney - Vento Grant Program,http://naehcy.org/,327 East Ridgewood Ave,Paramus,NJ,7653,(201) 343-6000X6588,linwie@bergen.org,Diahann De Ruggiero ,Law Researcher,"Law, Research/Other",,,,,,,,,,,,,,,,
Palisades Park Public Library,http://palisadespark.bccls.org/,257 2nd Street,Palisades Park,NJ,7650,201-585-4150,kumar@bccls.org,Susan Kumar,Library Internship,Research/Other,,,,,,,,,,,,,,,,
38th Legislative District Assemblyman Timothy Eustace's Office,http://www.assemblydems.com,205 Robin Road Suite 222,Paramus,NJ,7652,201-925-8785,AsmEustace@njleg.org,Carlos Ivan Merino,Legislative Office,Research/Other,,,,,,,,,,,,,,,,
Holy Name Medical Center,,718 Teaneck Road,Teaneck,NJ,7666,2018333051,berthou@mail.holyname.org,Michele Pometti-Bailey,Neurophysiology,Medical,,,,,,,,,,,,,,,,
Eighty6,www.theeighty6.com,19 Franklin Pl,Rutherford,NJ,7070,201-956-1294,info@theeighty6.com,Evan Eagleson,Graphic Design,"Digital Media, Commercial Arts",,,,,,,,,,,,,,,,
Bergen County Workforce Development Board,bergenwib.org,60 State Street,Hackensack,NJ,7601,201-343-8830 x4093,carpol@bergen.org,Carol Polack,Content Writer,Computer Science,,,,,,,,,,,,,,,,
"Riley E. Horton, LLC",,658 Ridgewood Road,Maplewood,NJ,7040,973-763-4404,rhorton@hortonlawoffices.com,Riley Horton,General Law Office Assistance,Law,,,,,,,,,,,,,,,,
Holy Name Medical Center,http://www.holyname.org/index.aspx,718 Teaneck Road,Teaneck,NJ,7666,201-833-3051,berthou@holyname.org,Marie Berthou,Holy Name Medical Center,Medical,,,,,,,,,,,,,,,,
Bardonia Physical Therapy,bardoniapt.com,409 Route 304,New City,NY,10956,9149244729,director@bardoniapt.com,Alexander Rosado,Learn physical therapy practice by shadowing; aide responsibilities,"Computer Science, Medical",,,,,,,,,,,,,,,,
Tenakill Middle School,closterschools.org/tenakill,275 High Street,Closter,NJ,7624,(201) 819-5144,Puleo@nvnet.org,JoAnn Puleo,Internship,Research/Other,,,,,,,,,,,,,,,,
Aviation Hall of Fame & Museum of NJ,http://www.njahof.org/,400 Fred Wehran Drive,Teterboro ,NJ ,7608,( 201)288-6344 ,njahof @verizon.net,Joe Lennox,Aviation Museum Intern,Research/Other,,,,,,,,,,,,,,,,
Aviation Hall of Fame & Museum of NJ,www.njahof.org,400 Fred Wehran Drive,Teterboro,NJ,7026,201-288-6344,njahof @verizon.net,Joseph Lennox,Graphic Design/Marketing/Interior Design,"Digital Media, Business & Finance, Commercial Arts",,,,,,,,,,,,,,,,
Party Rental Ltd,,275 North Street ,Teterboro,NJ,7608,201-286-2781,barneyd@partyrentalltd.com,Barney Ramos,Internship,Research/Other,,,,,,,,,,,,,,,,
Strike Zone/AWA Wrestling,http://www.strikezonecombat.com,91 Ruckman Rd,Closter,NJ,7624,201-784-9559,DAVEFIT@aol.com,Dave Paladino,Personal Trainer,Computer Science,,,,,,,,,,,,,,,,
The Gym,http://www.gettothegym.com/,20 Nordhoff Pl.,Englewood,NJ,7631,(201) 567-9399,gettothegym.com,Reginald Pettway,Customer Service,Research/Other,,,,,,,,,,,,,,,,
Aviation Hall of Fame & Museum of NJ,www.njahof.org,400 Fred Wehran Drive,Teterboro,NJ,7608,201-288-6344 ,njahof @verizon.net,Joseph Lennox,Graphic Design/Marketing/Interior Design,"Digital Media, Business & Finance, Commercial Arts",,,,,,,,,,,,,,,,
Maywood Public Library,maywood.bccls.org,459 Maywood Avenue,Maywood,NJ,7607,201-845-2915,ratna.chowdhury@maywood.bccls.org,DANIELLE FISHER,Children's Room Volunteer,Research/Other,,,,,,,,,,,,,,,,
JAD Consulting LLC,http://www.jadllc.com,61 Broadway suite 512 ,New York City ,NY,10006,212-509-3525, info@jadllc.com,Joseph  DeMaio,Financial Accounting & Foundation Preparation ,Business & Finance,,,,,,,,,,,,,,,,
Wood-Ridge Intermediate School,http://www.wood-ridgeschools.org/site/default.aspx?PageID=1,151 1st Street,Wood-Ridge,NJ,7075,201-933-6777 ext5624,klisa@wood-ridgeschools.org,Keith Lisa,Teacher Assistant,Research/Other,,,,,,,,,,,,,,,,
Joan Mitchell Foundation,joanmitchellfoundation.org,137 West 25th Street,New York City,NY,10001,1 (646) 643-2361,jortiz@joanmitchellfoundation.org,Jos̩ Ortiz,careers in art,Commercial Arts,,,,,,,,,,,,,,,,
Garfield Public Library,http://garfield.bccls.org/,500 Midland Ave,Garfield,NY,7644,973-478-3800,jennings@garfield.bccls.org,Mary Jo Jennings,"Internship to experience working in a public building and assist with public librarians. During my time I will help file vouchers and bank statements, assist with the library computers, process incoming and out coming requests, and assist with any other projects given by the librarians.",Computer Science,,,,,,,,,,,,,,,,
Femmebot Clothing,femmebot.com,203 East Ridgewood Avenue,Ridgewood,NJ,7450,(201)857-3720,info@femmebot.com,Karitza Mirabito ,Visual Merchandising ,Fashion,,,,,,,,,,,,,,,,
Holy Name Medical Center,,718 Teaneck Avenue,Teaneck,NJ,7666,2018337084,johnmorgan911@gmail.com,John Morgan,Office Work,Research/Other,,,,,,,,,,,,,,,,
Sweat Club,http://ldsweatclub.wix.com/sweat-club-site-,312-A Bergen Blvd , Fairview ,NJ,7022,201-736-8728  ,ldsweatclub@gmail.com,Linda  Dilone,Fitness,Computer Science,,,,,,,,,,,,,,,,
American Museum of Natural History,www.amnh.org,Central Park West at 79th Street,New York,NY,10024,212-769-5857,dkizirian@amnh.org,David Kizirian,Herpetology,"Medical, Research/Other",,,,,,,,,,,,,,,,
Morgan Educational Services Inc. ,,77 Contant Ave ,Lodi,NJ,7644,973-253-0509,morganedservices13@gmail.com,Saif Morgan,Secretary ,Research/Other,,,,,,,,,,,,,,,,
The Children's Therapy Center,http://www.thechildrenstherapycenter.org/,321 Prospect Street,Midland Park,NJ,7432,(201) 612-5677,info@thechildrenstherapycenter.org,Kelsey Introna,Speech Therapy,Medical,,,,,,,,,,,,,,,,
"Office of Jeanine E. Graves, O.D.",http://www.jeaninegravesod.com/,11-11 River Road,Fair Lawn,NJ,7410,2017962036,eyedrgraves@yahoo.com,Zena Kaddour,Optometry ,Research/Other,,,,,,,,,,,,,,,,
Little Ferry Board of Education,,130 Liberty St.,Little Ferry,NJ,7643,201-641-6192,ddoran@littleferry.k12.nj.us,Donna Duran,Accounts Payable Dept.,Research/Other,,,,,,,,,,,,,,,,
Les Tout Petits,https://lestoutpetitsdancecouture.com/main.sc, 600 Grand Ave,Ridgefield,NJ,7657,(201) 941-8675,lestoutpetits@aol.com,Lois Letzt,Fashion,Fashion,,,,,,,,,,,,,,,,
Pricerite,http://www.priceritesupermarkets.com/,59 Outwater Lane ,Garfield,NJ,7026,862-225-9717,sr0124mgr@wakefern.com,Craig Tomat,supermarket supervisor,Research/Other,,,,,,,,,,,,,,,,
John Theurer Cancer Center (JTCC) Hackensack University Medical Ctr,http://www.jtcancercenter.org,"92 2nd St, ",Hackensack,NJ,7601,(551) 996-5900,SParker@hackensackumc.org,Sharon Lee Parker,Patient Care,Research/Other,,,,,,,,,,,,,,,,
Holy Name Medical Center,,718 Teaneck Road,Teaneck,NJ,7666,(201) 833-3000 ,info@holyname.org,Michele Pometti-Bailey,Neurophysiology,Medical,,,,,,,,,,,,,,,,
Millers Bakery,http://millersbakeshop.com,716 Anderson Ave,Cliffside Park,NJ,7010,2019430400,millersbakeshop@gmail.com,Dave  Miller,Cake decorating and pastry assembly,Culinary,,,,,,,,,,,,,,,,
Hackensack  Fire Department,www.hackensack.org.>HFD,205 State Street,Hackensack,N.J,7601,201 646 7800,HFDFP@Hackensack.or,Jason D'Elia,Senior Internship for HFD,Research/Other,,,,,,,,,,,,,,,,
Picatinny Arsenal,http://www.pica.army.mil/Picatinny/,NJ-15,Wharton,NJ,7885,(973) 724-4021,yinhua.i.wu.civ@mail.mil,Yin Hua (Irene) Wu,US Army Engineering Research and Development,"Automotive Engineering, Aerospace Engineering, Research/Other",,,,,,,,,,,,,,,,
NYU Langone Medical Center: Skirball Institute of Biomolecular Medicine,http://www.med.nyu.edu/skirball-lab/turnbulllab/,550 1st Ave,New York,NY,10016,212-263-7262,daniel.turnbull@med.nyu.edu,Daniel Turnbull,Biomedical/Biomolcular Imaging,Medical,,,,,,,,,,,,,,,,
Gentle Dental,http://www.gentledentallyndhurst.com/,531 Ridge Road,Lyndhurst,NJ,7071,2019356100,dokjac@verizon.net,Joseph Ciani,Dentistry,Medical,,,,,,,,,,,,,,,,
Cliffside Park Recreation Department ,http://www.cliffsideparknj.gov/departments/recreation/,440 Oakdene Avenue (W Grantwood Park),Cliffside Park,NJ,7010,(201)313-2073,fscerbo@cliffsideparknj.gov,Ginny Gianfredi,Recreation / Office Work ,Research/Other,,,,,,,,,,,,,,,,
Columbia Bank Headquarters,columbiabankonline.com,Route 208 North,Fair Lawn,NJ,7410,201-794-5637,columbiabankonline.com,John Klimowich,Risk Management,Research/Other,,,,,,,,,,,,,,,,
CEMA Creative,http://www.cemacreative.com/,225 River Street (Located in W Hotel),Hoboken,NJ,7030,(201)253-2580,info@CEMAcreative.com,Desiree  Pesce,"Social Media, Retail Strategy, and Brand Development","Computer Science, Digital Media",,,,,,,,,,,,,,,,
"Cramer Rosenthal McGlynn, LLC",www.crmllc.com,"520 Madison Ave, 20th floor",New York,NY,10022,(212) 326-5321,JMilim@crmllc.com,Jeremy Milim,Investment Analysis,Research/Other,,,,,,,,,,,,,,,,
Cooper Union,http://www.cooper.edu/,41 Cooper Square,New York City,NY,10008,(212) 353-4100,webmaster@cooper.edu,Anita Raja,Machine Learning,"Computer Science, Aerospace Engineering",,,,,,,,,,,,,,,,
Columbus Elementary School,http://www.lodi.k12.nj.us/schools/columbus,370 Westervelt Place ,Lodi,NJ,7644,(973) 478 - 0514,vincent.dichiara@lodi.k12.nj.us,Vincent DiChiara,Education,Research/Other,,,,,,,,,,,,,,,,
"New Horizon Financial Inc,",http://newhorizonfinancial.com/,320 Palisade Ave,Bogota,NJ,7603,201-489-1118,nhf@ae.cadaretgrant.com,Ed Sweeney,"Business/Financial Planning: This independent firm manages investments and securities such as stocks, bonds, and mutual funds. I will be involved with stock screening, creating portfolios, as well as Powerpoint presentations.","Computer Science, Business & Finance",,,,,,,,,,,,,,,,
Carlstadt Public School,carlstadt.org,550 Washington St,Carlstadt,NJ,7072,201-672-3000,skollinok@carlstadtps.org,Stephen Kollinok,Media Development,Digital Media,,,,,,,,,,,,,,,,
Bergen County Technical Schools ,bcts.bergen.org,540 Farview Avenue ,Paramus ,NJ ,7652,201-343-6000 ext. 4063,mardvo@bergen.org,Maria Dvorozniak ,Public Relations ,Research/Other,,,,,,,,,,,,,,,,
Holy Name Medical Center,http://www.holyname.org/,718 Teaneck Road,Teaneck,NJ,7666,201-833-3000,berthou@holyname.org,Marie Berthou,Nursing Unit,Computer Science,,,,,,,,,,,,,,,,
Van Saun County Park / Bergen County Zoological Park,http://www.co.bergen.nj.us/index.aspx?NID=437,216 Forest Avenue,Paramus,NJ,7652,2012623771,cnorton@co.bergen.nj.us,Cindy Norton,Veterinary Assistant,Research/Other,,,,,,,,,,,,,,,,
American Museum of Natural History,www.amnh.org,Central Park West & 79th St,New York,NY,10024,212-769-5100,marnold@amnh.org,Margaret Arnold,Herpetology ,"Medical, Research/Other",,,,,,,,,,,,,,,,
"Creamer-Sanzari, A Joint Venture",http://www.jfcson.com/,400 Paterson Plank Road,Carlstadt,NJ,7072,201-678-2686,nstone@jfcson.com,Nelson Stone,Construction Management/ Civil Engineering,"Automotive Engineering, Aerospace Engineering",,,,,,,,,,,,,,,,
E-Plant Dental Group,,8 Church St.,Bernardsville,NJ,7924,(908) 221-1515,eplantdentalgroup@gmail.com,Joseph Bang,Dentistry,Medical,,,,,,,,,,,,,,,,
American Museum of Natural History,http://www.amnh.org/,Central Park West & 79th St,New York,NY,10024,(212) 769-5853,marnold@amnh.org,Margaret Arnold,Herpetology,"Medical, Research/Other",,,,,,,,,,,,,,,,
Maywood Pubic Schools,http://maywoodschools.org/,764 Grant Avenue,Maywood,NJ,7607,201 845-9113 Ext: 102,cpalm@Maywoodschools.org,Claire Palm,Teacher Assistant to Claire Palm. I will be teaching students from grades K-3rd and assisting in their art projects. Following an 8 step lesson plan and Maywood Schools curriculum I will also learn how to organize a class and create lesson plans.,"Computer Science, Commercial Arts",,,,,,,,,,,,,,,,
The Valley Hospital ,http://www.valleyhealth.com/,223 N Van Dien Ave ,Ridgewood,NJ,7450,2014478000,webinfo@valleyhealth.com,Katie  Miller,Oncology,Medical,,,,,,,,,,,,,,,,
Englewood Dental ,http://www.englewooddental.com/,370 Grand Ave ,Englewood,NJ,7631,2018713555,none,John Minichetti ,Dental Assistant ,Medical,,,,,,,,,,,,,,,,
Bergen County Technical Schools: Adult & Continuing Education Division,http://bcts.bergen.org/index.php/adult-ed-homepage,"190 Hackensack Avenue, Room #125",Hackensack,NJ,7601,(201)343-6000 ext. 5503,lisale@bergen.org,Lisa Alessandrino,Education,Research/Other,,,,,,,,,,,,,,,,
Sal Lauretta for Men,http://sallauretta.com,621 Godwin Ave,Midland Park ,NJ,7432,201-444-1666,ralph@sal4men.com,Ralph Lauretta ,Fashion,Fashion,,,,,,,,,,,,,,,,
The Valley Hospital,http://www.valleyhealth.com/,223 N Van Dien Ave,Ridgewood,NJ,7604,201-447-8000,webinfo@valleyhealth.com,Katie Maraventano,Student Intern,Research/Other,,,,,,,,,,,,,,,,
Eighty6,http://eighty6.agency/,"17 Sylvan St., Suite 101A ",Rutherford,NJ,7070,2015892201,info@theeighty6.com,Evan Eagleson,Graphic Design,"Digital Media, Commercial Arts",,,,,,,,,,,,,,,,
American Museum of Natural History,http://www.amnh.org/,Central Park West at 79th street,New York City,NY,10024,2127695100,marnold@amnh.org,Margaret Arnold,Herpetology,"Medical, Research/Other",,,,,,,,,,,,,,,,
Metropolitan Neuropsychological Consulting,www.metro-psych.com,440 West St,Fort Lee,NJ,7024,9177576707,dr.shikhman@metro-npsych.com,Marina Shikhman,Psychology,"Medical, Research/Other",,,,,,,,,,,,,,,,
"Kulite Semiconductor Products, Inc.",www.kulite.com,One Willow Tree Road,Leonia,NJ,7605,201-461-0900,Haig.Norian@kulite.com,Haig Norian,"Hardware Product Development Ardvino Programming, Automation",Computer Science,,,,,,,,,,,,,,,,
Holy Name Hospital,,718 Teaneck Road,Teaneck,NJ,7666,8774659626,info@holyname.org,Marie Berthou,Endoscopy,Research/Other,,,,,,,,,,,,,,,,
Alice and Trixie,https://www.aliceandtrixie.com/,265 W 37th Street,New York,NY,10018,212.944.6203,info@aliceandtrixie.com,Gregg St. Onge,Fashion Manufacturing,Fashion,,,,,,,,,,,,,,,,
C9 Concepts,,Cedar Lane,Teaneck,NJ,7666,2019258785,cim@c9concepts.com,Carlos Merino,"This is an internship for a political campaign. It will consist of data entry, research, managing social media and other similar tasks. Interns will learn about the fieldwork associated with a political campaign. ","Computer Science, Digital Media, Law, Research/Other",,,,,,,,,,,,,,,,
Cliffside Park Borough Hall,http://www.cliffsideparknj.gov,525 Palisade Avenue ,Cliffside Park,NJ,7010,(201) 945-3456,szoklu@cliffsideparknj.gov,Sercan Zoklu,Government,Law,,,,,,,,,,,,,,,,
"Harwood Lloyd, LLC",harwoodlloyd.com,130 Main Street,Hackensack,NJ,7601,201-359-3545,jtheresa@harwoodlloyd.com,Resa Javier,Law,Law,,,,,,,,,,,,,,,,
Access Wealth Planning,awplan.com,4 Becker Farm Rd # 101,Roseland,NJ`,7068,973-740-2400,HHOOK@AWPLAN.COM,Howard Hook,Wealth Management ,Research/Other,,,,,,,,,,,,,,,,
Ridgefield Park Animal Hospital,http://ridgefieldparkvet.com,199 Main Street,Ridgefield Park,NJ,7660,2018140095,rpah199@gmail.com,Paul Kim,Veterinary Sciences,Research/Other,,,,,,,,,,,,,,,,
Bergen County Zoological Park,http://www.co.bergen.nj.us/index.aspx?NID=437,216 Forest Avenue,Paramus,NJ,7652,201-262-3771,IEgan@co.bergen.nj.us,Irene Egan,Zookeeper Assistant,Research/Other,,,,,,,,,,,,,,,,
Holy Name Hospital Fitness,http://www.hnhfitness.com/,514 Kinderkamack Road,Oradell,NJ,7649,8882364236,hnhfitness@holyname.org,Ron  Drenth,Physical Therapy,Medical,,,,,,,,,,,,,,,,
Secaucus HS - New Jersey Center of Teaching and Learning Room 214,www.njctl.org,11 Millridge Rd.,Secaucus,NJ,7094,201-974-2033,yuriy@njctl.org,John Ennis,Physics,Research/Other,,,,,,,,,,,,,,,,
SRF Accounting Group LLC,http://www.snrcpas.com/,One University Plaza Drive,Hackensack,NJ,7601,2015251222,info@srfcpas.com,Joy Firshein,Accounting,Business & Finance,,,,,,,,,,,,,,,,
JAD Consulting LLC,http://www.jadllc.com/,61 Broadway Suite 512,New York,NY,10006,212-509-3525,info@jadllc.com,Joseph De Maio,Private Professional Tax Practice,Research/Other,,,,,,,,,,,,,,,,
Hackensack UMC- Palisades,http://www.palisadesmedical.org,7600 River Rd,North Bergen,NJ ,7047,(201) 854-5000,,Denise Whitley,Patient Care,Research/Other,,,,,,,,,,,,,,,,
Les Tout Petits,lestoutpetits.com,600 Grand Avenue,Ridgefield,NJ,7601,2019418675,lestoutpetits@aol.com,Lois Letzt,Fashion Design and Merchandising,"Fashion, Commercial Arts",,,,,,,,,,,,,,,,
David E. Owens Middle School,http://newmilfordschools.org/DEO,470 Marion Avenue,New Milford,NJ,7646,2012658661,jmuratore@newmilfordschools.org,Justin Muratore,Art Education,Commercial Arts,,,,,,,,,,,,,,,,
Liberty Science Center,http://lsc.org/,222 Jersey City Blvd.,Jersey City,NJ,7305,2012531278,halicea@lsc.org,Hope Alicea,Science/PR,Research/Other,,,,,,,,,,,,,,,,
CTC Academy,ctcacademy.org,125 Bauer Drive,Oakland,NJ,7436,(201)612-5677,info@ctcacademy.org,Alix Rusiecki,Speech Therapy,Medical,,,,,,,,,,,,,,,,
Showroom Seven,www.showroomseven.com,Eleventh Avenue,New York City,NY,10001,(212) 643-4810,porsha@showroomseven.com,Christin McWeeney,Sales,Research/Other,,,,,,,,,,,,,,,,
